駅名,下り 乗車,下り 降車,下り 通過,上り 乗車,上り 降車,上り 通過
西取手,551,"1,419","10,636",875,599,"7,726"
寺原,243,"1,244","9,635",617,250,"7,359"
新取手,216,"1,163","8,688",595,198,"6,962"
ゆめみ野,251,525,"8,414",215,251,"6,998"
稲戸井,385,"1,420","7,379","1,099",377,"6,276"
戸頭,"1,854","2,125","7,108","1,678","1,853","6,451"
南守谷,"1,307",956,"7,459",782,"1,303","6,972"
守谷,"5,959","5,922","7,496","5,583","6,328","7,717"
新守谷,77,"1,558","6,015","1,444",137,"6,410"
小絹,52,"1,581","4,486","1,480",82,"5,012"
水海道,10,"2,355","2,141","2,233",141,"2,920"
北水海道,1,60,"2,082",157,0,"2,763"
中妻,0,0,"2,082",52,0,"2,711"
三妻,2,0,"2,084",29,0,"2,682"
南石下,3,0,"2,087",76,0,"2,606"
石下,8,38,"2,057",234,0,"2,372"
玉村,3,0,"2,060",12,0,"2,360"
宗道,0,7,"2,053",51,0,"2,309"
下妻,0,"2,016",37,"2,169",21,161
大宝,0,0,37,5,0,156
騰波ノ江,4,0,41,7,0,149
黒子,488,0,529,12,481,618
大田郷,0,0,529,15,0,603
下館,0,529,0,603,0,0
合計,"22,918","22,918", ,"20,023","20,023",
,,,,,,
竜ヶ崎線,,,,,,
佐貫,"6,122",0,"6,122",0,"5,953","5,953"
入地,0,13,"6,109",13,0,"5,940"
竜ヶ崎,0,"6,109",0,"5,940",0,0
合計,"6,122","6,122", ,"5,953","5,953",
,,,,,,
流山線,,,,,,
馬橋,"1,667",0,"1,667",0,"1,706","1,706"
幸谷,"1,753",34,"3,386",43,"1,719","3,382"
小金城趾,38,487,"2,937",514,46,"2,914"
鰭ヶ崎,64,369,"2,632",384,67,"2,597"
平和台,19,856,"1,795",799,10,"1,808"
流山,0,"1,795",0,"1,808",0,0
合計,"3,541","3,541", ,"3,548","3,548",
,,,,,,
小湊鉄道線,,,,,,
五井,755,0,755,0,755,755
上総村上,0,31,724,31,0,724
海士有木,0,0,724,0,0,724
上総三又,0,320,404,320,0,404
上総山田,0,0,404,0,0,404
光風台,0,373,31,373,0,31
馬立,0,31,0,31,0,0
上総牛久,0,0,0,0,0,0
上総川間,0,0,0,0,0,0
上総鶴舞,0,0,0,0,0,0
上総久保,0,0,0,0,0,0
高滝,0,0,0,0,0,0
里見,0,0,0,0,0,0
飯給,0,0,0,0,0,0
月崎,0,0,0,0,0,0
上総大久保,0,0,0,0,0,0
養老渓谷,0,0,0,0,0,0
上総中野,0,0,0,0,0,0
合計,755,755, ,755,755,
,,,,,,
北総線,,,,,,
京成高砂,"38,175",0,"38,175",0,"40,223","40,223"
新柴又,467,"2,051","36,591","2,529",461,"38,155"
矢切,"1,632","2,687","35,536","3,171","1,609","36,593"
北国分,960,"1,913","34,583","2,136",954,"35,411"
秋山,"1,128","1,464","34,247","1,676","1,140","34,875"
東松戸,"13,724","5,825","42,146","6,152","13,466","42,189"
松飛台,656,"1,879","40,923","1,943",669,"40,915"
大町,147,477,"40,593",516,120,"40,519"
新鎌ヶ谷,"13,517","4,732","49,378","5,074","13,181","48,626"
西白井,596,"9,804","40,170","9,691",587,"39,522"
白井,556,"5,814","34,912","5,778",565,"34,309"
小室,124,"2,296","32,740","2,306",140,"32,143"
千葉ニュータウン中央,514,"23,354","9,900","23,649",465,"8,959"
印西牧の原,97,"6,167","3,830","5,989",97,"3,067"
印旛日本医大,0,"3,830",0,"3,067",0,0
合計,"72,293","72,293", ,"73,677","73,677",
,,,,,,
千葉都市モノレール２号線,,,,,,
千葉,"11,630",0,"11,630",0,"9,639","9,639"
千葉公園,136,639,"11,127",403,175,"9,411"
作草部,192,"1,737","9,582","1,402",190,"8,199"
天台,176,"1,894","7,864","1,611",181,"6,769"
穴川,440,"1,208","7,096","1,019",448,"6,198"
スポーツセンター,305,"1,754","5,647","1,753",312,"4,757"
動物公園,78,660,"5,065",474,65,"4,348"
みつわ台,711,978,"4,798",850,668,"4,166"
都賀,"3,767","1,668","6,897","1,588","4,083","6,661"
桜木,125,989,"6,033",952,111,"5,820"
小倉台,50,"1,288","4,795","1,299",47,"4,568"
千城台北,21,"1,367","3,449","1,304",24,"3,288"
千城台,0,"3,449",0,"3,288",0,0
合計,"17,631","17,631", ,"15,943","15,943",
,,,,,,
千葉都市モノレール１号線,,,,,,
千葉みなと,"7,075",0,"7,075",0,"9,137","9,137"
市役所前,"2,008",159,"8,924",178,"3,319","12,278"
千葉,"1,196","8,204","1,916","11,637",665,"1,306"
栄町,9,145,"1,780",131,15,"1,190"
葭川公園,5,856,929,568,17,639
県庁前,0,929,0,639,0,0
合計,"10,293","10,293", ,"13,153","13,153",
,,,,,,
いすみ線,,,,,,
上総中野,0,0,0,0,0,0
西畑,0,0,0,0,0,0
総元,0,0,0,0,0,0
久我原,0,0,0,0,0,0
東総元,0,0,0,0,0,0
小谷松,0,0,0,0,0,0
大多喜,0,0,0,0,0,0
城見ヶ丘,0,0,0,0,0,0
合計,0,0, ,0,0,
,,,,,,
江ノ島電鉄線,,,,,,
藤沢,"9,692",0,"9,692",0,"9,691","9,691"
石上,10,148,"9,554",143,21,"9,569"
柳小路,21,"2,768","6,807","2,687",24,"6,906"
鵠沼,25,"2,333","4,499","2,471",29,"4,464"
湘南海岸公園,21,"1,580","2,940","1,530",20,"2,954"
江ノ島,237,270,"2,907",244,594,"3,304"
腰越,78,211,"2,774",269,86,"3,121"
鎌倉高校前,202,"1,367","1,609","1,368",217,"1,970"
七里ヶ浜,551,761,"1,399",740,612,"1,842"
稲村ヶ崎,365,91,"1,673",127,407,"2,122"
極楽寺,350,22,"2,001",29,379,"2,472"
長谷,"1,565",265,"3,301",546,"1,323","3,249"
由比ヶ浜,240,21,"3,520",36,221,"3,434"
和田塚,97,56,"3,561",52,98,"3,480"
鎌倉,0,"3,561",0,"3,480",0,0
合計,"13,454","13,454", ,"13,722","13,722",
,,,,,,
金沢シーサイドライン,,,,,,
新杉田,"17,981",0,"17,981",0,"17,939","17,939"
南部市場,169,"1,971","16,179","1,968",190,"16,161"
鳥浜,891,"2,031","15,039","2,010",898,"15,049"
並木北,162,"1,485","13,716","1,427",163,"13,785"
並木中央,171,"2,427","11,460","2,403",188,"11,570"
幸浦,408,"1,846","10,022","1,869",443,"10,144"
産業振興センター,463,"1,733","8,752","1,694",474,"8,924"
福浦,535,"1,123","8,164","1,108",595,"8,411"
市大医学部,"3,953","4,869","7,248","4,944","4,104","7,571"
八景島,493,372,"7,369",427,476,"7,620"
海の公園柴口,435,335,"7,469",377,451,"7,694"
海の公園南口,104,215,"7,358",259,51,"7,486"
野島公園,901,324,"7,935","1,482",911,"6,915"
金沢八景,0,"7,935",0,"6,915",0,0
合計,"26,666","26,666", ,"26,883","26,883",
,,,,,,
多摩都市モノレール線,,,,,,
多摩センター,"22,580",0,"22,580",0,"22,505","22,505"
松が谷,731,408,"22,903",279,703,"22,929"
大塚・帝京大学,"1,891",884,"23,910",973,"1,501","23,457"
中央大学・明星大学,"12,890","8,712","28,088","8,447","12,877","27,887"
多摩動物公園,476,290,"28,274",292,455,"28,050"
程久保,691,449,"28,516",484,670,"28,236"
高幡不動,"7,604","7,716","28,404","7,492","7,677","28,421"
万願寺,"2,050","1,406","29,048","1,433","2,034","29,022"
甲州街道,"2,444","1,260","30,232","1,269","2,410","30,163"
柴崎体育館,"1,174",824,"30,582",834,"1,095","30,424"
立川南,"4,169","13,779","20,972","13,403","3,633","20,654"
立川北,"11,100","6,542","25,530","6,780","11,922","25,796"
高松,569,"4,226","21,873","4,228",567,"22,135"
立飛,195,"1,636","20,432","1,736",259,"20,658"
泉体育館,267,"1,942","18,757","1,925",287,"19,020"
砂川七番,271,"1,618","17,410","1,678",254,"17,596"
玉川上水,829,"10,119","8,120","10,139",889,"8,346"
桜街道,37,"3,535","4,622","3,730",50,"4,666"
上北台,0,"4,622",0,"4,666",0,0
合計,"69,968","69,968", ,"69,788","69,788",
,,,,,,
東京臨海新交通臨海線,,,,,,
新橋,"20,024",0,"20,024",0,"20,024","20,024"
汐留,578,89,"20,513",89,578,"20,513"
竹芝,0,"1,219","19,294","1,219",0,"19,294"
日の出,0,163,"19,131",163,0,"19,131"
芝浦ふ頭,564,"3,062","16,633","3,062",564,"16,633"
お台場海浜公園,141,"4,404","12,370","4,404",141,"12,370"
台場,141,"2,224","10,287","2,224",141,"10,287"
船の科学館,282,385,"10,184",385,282,"10,184"
テレコムセンター,"3,228","6,840","6,572","6,840","3,228","6,572"
青海,193,141,"6,624",141,193,"6,624"
国際展示場正門,"5,109","1,819","9,914","1,819","5,109","9,914"
有明,"1,775",424,"11,265",424,"1,775","11,265"
有明テニスの森,"1,893",22,"13,136",22,"1,893","13,136"
市場前,558,0,"13,694",0,558,"13,694"
新豊洲,"2,207",141,"15,760",141,"2,207","15,760"
豊洲,0,"15,760",0,"15,760",0,0
合計,"36,693","36,693", ,"36,693","36,693",
,,,,,,
りんかい線,,,,,,
新木場,"51,774",0,"51,774",0,"52,645","52,645"
東雲,"2,705","6,403","48,076","6,348","2,805","49,102"
国際展示場,"22,244","13,627","56,693","13,806","23,482","58,778"
東京テレポート,"18,730","8,950","66,473","8,919","19,058","68,917"
天王洲アイル,"13,003","10,342","69,134","10,239","13,165","71,843"
品川シーサイド,"11,873","4,725","76,282","4,869","12,205","79,179"
大井町,"7,381","36,490","47,173","36,412","8,161","50,928"
大崎,0,"47,173",0,"50,928",0,0
合計,"127,710","127,710", ,"131,521","131,521",
,,,,,,
箱根登山鉄道線,,,,,,
小田原,635,0,635,0,635,635
箱根板橋,0,274,361,274,0,361
風祭,0,54,307,54,0,307
入生田,0,72,235,72,0,235
箱根湯本,18,235,18,235,18,18
塔ノ沢,0,0,18,0,0,18
大平台,0,18,0,18,0,0
宮ノ下,0,0,0,0,0,0
小涌谷,0,0,0,0,0,0
彫刻の森,0,0,0,0,0,0
強羅,0,0,0,0,0,0
合計,653,653, ,653,653,
,,,,,,
東葉高速線,,,,,,
西船橋,"69,624",0,"69,624",0,"69,624","69,624"
東海神,"1,420","1,616","69,428","1,617","1,437","69,444"
飯山満,570,"4,202","65,796","4,223",683,"65,904"
北習志野,"8,437","13,364","60,869","13,517","6,830","59,217"
船橋日大前,"1,973","12,947","49,895","12,557","1,983","48,643"
八千代緑が丘,"2,377","18,472","33,800","17,767","2,385","33,261"
八千代中央,"2,945","13,238","23,507","12,915","3,024","23,370"
村上,532,"2,529","21,510","2,445",580,"21,505"
東葉勝田台,0,"21,510",0,"21,505",0,0
合計,"87,878","87,878", ,"86,546","86,546",
,,,,,,
埼玉高速鉄道線,,,,,,
赤羽岩淵,"46,549",0,"46,549",0,"46,051","46,051"
川口元郷,"2,021","9,507","39,063","9,411","2,054","38,694"
南鳩ヶ谷,"1,008","3,905","36,166","3,846",990,"35,838"
鳩ヶ谷,"4,096","13,251","27,011","13,133","4,127","26,832"
新井宿,"2,350","2,828","26,533","2,785","2,328","26,375"
戸塚安行,"3,833","6,314","24,052","6,235","3,882","24,022"
東川口,"3,052","21,547","5,557","21,600","2,970","5,392"
浦和美園,0,"5,557",0,"5,392",0,0
合計,"62,909","62,909", ,"62,402","62,402",
,,,,,,
みなとみらい線,,,,,,
横浜,"87,486",0,"87,486",0,"86,515","86,515"
新高島,323,"1,412","86,397","1,396",275,"85,394"
みなとみらい,"2,618","38,889","50,126","38,370","2,870","49,894"
馬車道,444,"13,690","36,880","13,615",469,"36,748"
日本大通り,129,"18,844","18,165","18,732",133,"18,149"
元町・中華街,0,"18,165",0,"18,149",0,0
合計,"91,000","91,000", ,"90,262","90,262",
,,,,,,
つくばエクスプレス,,,,,,
秋葉原,"81,397",0,"81,397",0,"78,933","78,933"
新御徒町,"17,658",435,"98,620",454,"18,570","97,049"
浅草,"5,766","3,102","101,284","3,000","5,676","99,725"
南千住,"2,616","1,536","102,364","1,644","2,585","100,666"
北千住,"53,742","10,049","146,057","10,105","54,410","144,971"
青井,485,"5,862","140,680","5,890",481,"139,562"
六町,"1,476","12,080","130,076","12,066","1,505","129,001"
八潮,"5,710","16,262","119,524","15,929","5,832","118,904"
三郷中央,"3,903","10,238","113,189","10,050","3,970","112,824"
南流山,"28,193","29,323","112,059","29,251","28,275","111,848"
流山セントラルパーク,281,"4,492","107,848","4,470",289,"107,667"
流山おおたかの森,"9,545","35,084","82,309","34,850","9,539","82,356"
柏の葉キャンパス,903,"16,736","66,476","16,549",877,"66,684"
柏たなか,131,"3,552","63,055","3,534",144,"63,294"
守谷,"3,003","26,116","39,942","25,822","3,048","40,520"
みらい平,134,"4,666","35,410","4,565",145,"36,100"
みどりの,219,"4,124","31,505","4,074",234,"32,260"
万博記念公園,125,"2,240","29,390","2,224",145,"30,181"
研究学園,528,"6,108","23,810","6,153",587,"24,615"
つくば,0,"23,810",0,"24,615",0,0
合計,"215,815","215,815", ,"215,245","215,245",
,,,,,,
大雄山線,,,,,,
小田原,"6,256",0,"6,256",0,"6,256","6,256"
緑町,0,0,"6,256",0,0,"6,256"
井細田,0,"1,047","5,209","1,047",0,"5,209"
五百羅漢,0,0,"5,209",0,0,"5,209"
穴部,0,29,"5,180",29,0,"5,180"
飯田岡,0,"1,061","4,119","1,061",0,"4,119"
相模沼田,0,226,"3,893",226,0,"3,893"
岩原,0,40,"3,853",40,0,"3,853"
塚原,0,742,"3,111",742,0,"3,111"
和田河原,0,703,"2,408",703,0,"2,408"
富士フィルム前,0,459,"1,949",459,0,"1,949"
大雄山,0,"1,949",0,"1,949",0,0
合計,"6,256","6,256", ,"6,256","6,256",
,,,,,,
東京モノレール羽田空港線,,,,,,
羽田空港第2ビル,"13,239",0,"13,239",0,"15,956","15,956"
羽田空港第1ビル,"13,327",43,"26,523",38,"15,206","31,124"
新整備場,"4,903",244,"31,182",247,"5,621","36,498"
羽田空港国際線ビル,"4,146",329,"34,999",388,"4,565","40,675"
天空橋,"2,882",959,"36,922","1,642","2,108","41,141"
整備場,"2,226",521,"38,627",301,"2,209","43,049"
昭和島,"2,093",324,"40,396",246,"2,052","44,855"
流通センター,"9,969","1,086","49,279",736,"10,087","54,206"
大井競馬場前,"4,069",531,"52,817",504,"3,920","57,622"
天王洲アイル,"13,948","3,500","63,265","3,818","13,518","67,322"
モノレール浜松町,0,"63,265",0,"67,322",0,0
合計,"70,802","70,802", ,"75,242","75,242",
,,,,,,
江の島線,,,,,,
大船,"13,656",0,"13,656",0,"14,607","14,607"
富士見町,165,"2,133","11,688","2,479",166,"12,294"
湘南町屋,80,"3,858","7,910","4,349",123,"8,068"
湘南深沢,138,"2,909","5,139","2,797",176,"5,447"
西鎌倉,87,"2,322","2,904","2,472",72,"3,047"
片瀬山,36,"1,499","1,441","1,534",54,"1,567"
目白山下,8,471,978,430,2,"1,139"
湘南江の島,0,978,0,"1,139",0,0
合計,"14,170","14,170", ,"15,200","15,200",
,,,,,,
伊奈線,,,,,,
大宮,"29,197",0,"29,197",0,"28,999","28,999"
鉄道博物館,211,"5,039","24,369","5,005",212,"24,206"
加茂宮,180,"2,934","21,615","2,863",180,"21,523"
東宮原,91,"1,906","19,800","1,908",85,"19,700"
今羽,58,"3,442","16,416","3,424",56,"16,332"
吉野原,46,978,"15,484",989,40,"15,383"
原市,21,"1,603","13,902","1,559",25,"13,849"
沼南,45,"2,340","11,607","2,335",44,"11,558"
丸山,40,"1,886","9,761","1,880",42,"9,720"
志久,45,"2,758","7,048","2,722",30,"7,028"
伊奈中央,41,"1,828","5,261","3,110",0,"3,918"
羽貫,0,"1,574","3,687","1,028",0,"2,890"
内宿,0,"3,687",0,"2,890",0,0
合計,"29,975","29,975", ,"29,713","29,713",
