駅名,下り 乗車,下り 降車,下り 通過,上り 乗車,上り 降車,上り 通過
合計,"9,701","9,701", ,"10,022","10,022",
,,,,,,
成田スカイアクセス線,,,,,,
京成高砂,"5,771",0,"5,771",0,"4,532","4,532"
東松戸,419,152,"6,038",455,391,"4,468"
新鎌ヶ谷,541,251,"6,328",600,285,"4,153"
千葉ニュータウン中央,"1,080",211,"7,197",990,"1,069","4,232"
印旛日本医大,44,0,"7,241",51,34,"4,215"
成田湯川,29,"1,492","5,778","1,442",23,"2,796"
空港第２ビル,0,"3,857","1,921","1,873",0,923
成田空港,0,"1,921",0,923,0,0
合計,"7,884","7,884", ,"6,334","6,334",
,,,,,,
ユーカリが丘線,,,,,,
ユーカリが丘,"2,155",0,"2,155",0,"2,155","2,155"
地区センター,127,39,"2,243",39,127,"2,243"
公園,59,164,"2,161",164,0,0
女子大,177,177,"2,161",0,0,0
中学校,"1,114","1,114","2,161",0,0,0
井野,893,893,"2,161",0,0,0
公園,0,59,0,0,0,0
合計,"4,525","2,446", ,203,"2,282",
,,,,,,
芝山鉄道線,,,,,,
東成田,292,0,292,0,255,255
芝山千代田,0,292,0,255,0,0
合計,292,292, ,255,255,
,,,,,,
新京成線,,,,,,
京成津田沼,"9,506",0,"9,506",0,"8,268","8,268"
新津田沼,"44,875",521,"53,860",238,"44,469","52,499"
前原,"1,142","2,631","52,371","2,417","1,140","51,222"
薬園台,"1,364","6,770","46,965","6,596","1,427","46,053"
習志野,"1,701","4,588","44,078","4,702","1,738","43,089"
北習志野,"9,102","15,639","37,541","15,304","9,058","36,843"
高根木戸,"1,022","3,269","35,294","3,165","1,051","34,729"
高根公団,"1,583","4,832","32,045","4,736","1,602","31,595"
滝不動,930,"1,949","31,026","1,911",959,"30,643"
三咲,"1,499","4,031","28,494","3,944","1,565","28,264"
二和向台,"2,646","3,674","27,466","3,539","2,707","27,432"
鎌ヶ谷大仏,"3,051","3,053","27,464","2,914","3,172","27,690"
初富,"1,061","1,043","27,482","1,043","1,063","27,710"
新鎌ヶ谷,"8,028","8,998","26,512","9,060","8,004","26,654"
北初富,"2,919","1,033","28,398",989,"2,970","28,635"
くぬぎ山,"1,848","1,133","29,113","1,100","1,872","29,407"
元山,"5,554",858,"33,809",784,"5,631","34,254"
五香,"16,240","4,026","46,023","3,964","16,631","46,921"
常盤平,"8,055","1,538","52,540","1,522","8,196","53,595"
八柱,"11,561","15,611","48,490","15,658","11,788","49,725"
みのり台,"4,003","1,071","51,422","1,044","4,083","52,764"
松戸新田,"2,451","1,183","52,690","1,191","2,510","54,083"
上本郷,"2,638","1,703","53,625","1,673","2,745","55,155"
松戸,0,"53,625",0,"55,155",0,0
合計,"142,779","142,779", ,"142,649","142,649",
,,,,,,
秩父本線,,,,,,
波久礼,72,0,72,0,77,77
寄居,446,8,510,9,447,515
桜沢,48,33,525,33,37,519
小前田,298,14,809,14,281,786
